CNPJ_GESTOR,n_fundos,pl_total,nome_em_registro,CNPJ_LIMPO,DENOM_SOCIAL,DENOM_COMERC,MUN,UF,CONTROLE_ACIONARIO,DT_REG,SITE_ADMIN,nome,faixa_porte,share_pct
30822936000169,920,2333870481545.25,BB GESTAO DE RECURSOS DTVM S.A,30822936000169,BB GESTAO DE RECURSOS DTVM S.A,BB GESTÃO DE RECURSOS DTVM SA,RIO DE JANEIRO,RJ,PRIVADO,1990-08-13,www.bbasset.com.br,BB GESTÃO DE RECURSOS DTVM SA,F1 · 100 bi+,17.591685359212356
40430971000196,3465,1749894670090.7,ITAU UNIBANCO ASSET MANAGEMENT LTDA.,40430971000196,ITAU UNIBANCO ASSET MANAGEMENT LTDA.,ITAU UNIBANCO ASSET MANAGEMENT LTDA.,SÃO PAULO,SP,PRIVADO,2021-06-28,www.itau.com.br,ITAU UNIBANCO ASSET MANAGEMENT LTDA.,F1 · 100 bi+,13.18993349948732
60746948000112,1975,1406357990749.21,BANCO BRADESCO S.A.,60746948000112,BANCO BRADESCO S.A.,BANCO BRADESCO S.A.,OSASCO,SP,PRIVADO,1992-12-10,www.bradesco.com.br,BANCO BRADESCO S.A.,F1 · 100 bi+,10.600505671288902
42040639000140,416,782063222818.84,CAIXA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,42040639000140,CAIXA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,CAIXA DTVM,SÃO PAULO,SP,PRIVADO,2021-08-31,https://www.caixa.gov.br/caixa-asset,CAIXA DTVM,F1 · 100 bi+,5.894847317204854
10231177000152,574,573463767479.0,SANTANDER BRASIL GESTÃO DE RECURSOS LTDA,10231177000152,SANTANDER BRASIL GESTÃO DE RECURSOS LTDA,--,SÃO PAULO,SP,PRIVADO,2008-12-11,www.santanderassetmanagement.com.br,SANTANDER BRASIL GESTÃO DE RECURSOS LTDA,F1 · 100 bi+,4.322516712975312
27665207000131,361,438491921750.93,BRASILPREV SEGUROS E PREVIDÊNCIA S.A,,,,,,,,,BRASILPREV SEGUROS E PREVIDÊNCIA S.A,F1 · 100 bi+,3.3051585257170863
23025053000162,101,352455203552.38,APEX GROUP INVESTIMENTOS LTDA.,23025053000162,APEX GROUP INVESTIMENTOS LTDA.,APEX GROUP INVESTIMENTOS LTDA.,SÃO PAULO,SP,PRIVADO,2015-12-30,www.brltrust.com.br,APEX GROUP INVESTIMENTOS LTDA.,F1 · 100 bi+,2.6566517264511704
29650082000100,502,203444516969.37,BTG PACTUAL ASSET MANAGEMENT S/A DTVM,29650082000100,BTG PACTUAL ASSET MANAGEMENT S/A DTVM,BTG PACTUAL ASSET MANAGEMENT S/A DTVM,RIO DE JANEIRO,RJ,PRIVADO,2000-05-10,btgpactual.com,BTG PACTUAL ASSET MANAGEMENT S/A DTVM,F1 · 100 bi+,1.5334749545366775
12695840000103,1684,173234711049.91,BTG PACTUAL GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA,12695840000103,BTG PACTUAL  GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA,BTG PACTUAL FAMILY OFFICE,SÃO PAULO,SP,PRIVADO,2020-02-10,https://www.btgpactual.com/wealth-management,BTG PACTUAL FAMILY OFFICE,F1 · 100 bi+,1.3057667741983472
08604187000144,333,169134204316.56,KINEA INVESTIMENTOS LTDA.,08604187000144,KINEA INVESTIMENTOS LTDA.,--,SÃO PAULO,SP,PRIVADO,2007-09-19,www.kinea.com.br,KINEA INVESTIMENTOS LTDA.,F1 · 100 bi+,1.2748589646875708
33754482000124,12,163152183639.30002,CAIXA DE PREVIDÊNCIA DOS FUNCIONÁRIOS DO BANCO DO BRASIL - PREVI,,,,,,,,,CAIXA DE PREVIDÊNCIA DOS FUNCIONÁRIOS DO BANCO DO BRASIL - PREVI,F1 · 100 bi+,1.2297691336970415
64786921000104,68,144160409553.9,Sicredi Asset Management Ltda.,64786921000104,Sicredi Asset Management Ltda.,Sicredi Asset Management Ltda.,SÃO PAULO,SP,PRIVADO,2026-05-14,www.sicredi.com.br,Sicredi Asset Management Ltda.,F1 · 100 bi+,1.0866175249143661
16789525000198,189,133329581498.72,XP VISTA ASSET MANAGEMENT LTDA.,16789525000198,XP VISTA ASSET MANAGEMENT LTDA.,XP VISTA,SÃO PAULO,SP,PRIVADO,2013-01-17,www.xpasset.com.br,XP VISTA,F1 · 100 bi+,1.004979524505575
11519438000105,705,100850882759.95,UBS BRASIL ADMINISTRADORA DE VALORES MOBILIÁRIOS LTDA.,11519438000105,UBS BRASIL ADMINISTRADORA DE VALORES MOBILIÁRIOS LTDA.,UBS BRASIL ADMINISTRADORA DE VALORES MOBILIÁRIOS LTDA.,SÃO PAULO,SP,PRIVADO,2010-06-16,https://www.ubs.com/br/pt.html,UBS BRASIL ADMINISTRADORA DE VALORES MOBILIÁRIOS LTDA.,F1 · 100 bi+,0.7601694317403604
65913436000117,643,96558875477.6,SAFRA ASSET CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,65913436000117,SAFRA ASSET CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,SAFRA ASSET CORRETORA,SÃO PAULO,SP,PRIVADO,2003-03-11,https://www.safra.com.br,SAFRA ASSET CORRETORA,F2 · 10 a 100 bi,0.7278181756327128
00436923000190,23,92475526674.36,FUNDAÇÃO DOS ECONOMIÁRIOS FEDERAIS - FUNCEF,,,,,,,,,FUNDAÇÃO DOS ECONOMIÁRIOS FEDERAIS - FUNCEF,F2 · 10 a 100 bi,0.697039695024417
01638542000157,152,88437922756.53,SAFRA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,01638542000157,SAFRA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,SAFRA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,SÃO PAULO,SP,PRIVADO,1999-11-18,https://www.safra.com.br/investimentos/fundos-de-i,SAFRA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,F2 · 10 a 100 bi,0.6666060191674085
46356742000155,31,84727898773.31999,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.,46356742000155,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.,SÃO PAULO,SP,PRIVADO,2022-12-05,www.reag.com.br,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.,F2 · 10 a 100 bi,0.6386414962412905
03730204000176,50,77119851928.75,CAIXA VIDA E PREVIDÊNCIA S/A,,,,,,,,,CAIXA VIDA E PREVIDÊNCIA S/A,F2 · 10 a 100 bi,0.581295397841173
62465117000106,61,72669790519.42,FUNDACAO CESP,,,,,,,,,FUNDACAO CESP,F2 · 10 a 100 bi,0.5477527995002939
02562663000125,164,72332848089.42,BNP PARIBAS ASSET MANAGEMENT BRASIL LTDA,02562663000125,BNP PARIBAS ASSET MANAGEMENT BRASIL LTDA,BNP PARIBAS ASSET MANAGEMENT BRASIL LTDA,SÃO PAULO,SP,PRIVADO,1998-09-03,https://www.bnpparibas.com.br/paginas/asset-manage,BNP PARIBAS ASSET MANAGEMENT BRASIL LTDA,F2 · 10 a 100 bi,0.5452130762124772
03214650000128,19,71261629069.92,BW GESTÃO DE INVESTIMENTOS LTDA.,03214650000128,BW GESTÃO DE INVESTIMENTOS LTDA.,--,SÃO PAULO,SP,PRIVADO,2008-05-19,www.bwgi.com.br,BW GESTÃO DE INVESTIMENTOS LTDA.,F2 · 10 a 100 bi,0.537138700153112
12461756000117,99,67690040436.93,PÁTRIA INVESTIMENTOS LTDA.,12461756000117,PÁTRIA INVESTIMENTOS LTDA.,--,SÃO PAULO,SP,PRIVADO,2011-07-06,www.patria.com,PÁTRIA INVESTIMENTOS LTDA.,F2 · 10 a 100 bi,0.5102176417820837
09631542000137,102,66248683422.98,BTG PACTUAL GESTORA DE RECURSOS LTDA,09631542000137,BTG PACTUAL GESTORA DE RECURSOS LTDA,--,SÃO PAULO,SP,PRIVADO,2008-08-04,btgpactual.com.br,BTG PACTUAL GESTORA DE RECURSOS LTDA,F2 · 10 a 100 bi,0.4993533289248792
68622174000120,245,62596325631.02,ICATU VANGUARDA GESTÃO DE RECURSOS LTDA,68622174000120,ICATU VANGUARDA GESTÃO DE RECURSOS LTDA,ICATU VANGUARDA GESTÃO DE RECURSOS LTDA,RIO DE JANEIRO,RJ,PRIVADO,2001-05-30,www.icatuvanguarda.com.br,ICATU VANGUARDA GESTÃO DE RECURSOS LTDA,F2 · 10 a 100 bi,0.4718234682905876
17285755000182,113,62093527739.08,ABSOLUTE GESTAO DE INVESTIMENTOS LTDA,17285755000182,ABSOLUTE GESTAO DE INVESTIMENTOS LTDA,--,SÃO PAULO,SP,PRIVADO,2013-03-19,www.absoluteinvestimentos.com.br,ABSOLUTE GESTAO DE INVESTIMENTOS LTDA,F2 · 10 a 100 bi,0.4680335997506558
07885392000162,14,61159700971.990005,BROOKFIELD BRASIL ASSET MANAGEMENT INVESTIMENTOS LTDA,07885392000162,BROOKFIELD BRASIL ASSET MANAGEMENT INVESTIMENTOS LTDA,--,SÃO PAULO,SP,PRIVADO,2007-05-15,https://www.brookfield.com/pt-br/bbami),BROOKFIELD BRASIL ASSET MANAGEMENT INVESTIMENTOS LTDA,F2 · 10 a 100 bi,0.46099482583558365
12330774000160,206,60578727647.13,SPX GESTÃO DE RECURSOS LTDA,12330774000160,SPX GESTÃO DE RECURSOS LTDA,--,RIO DE JANEIRO,RJ,PRIVADO,2010-11-16,www.spxcapital.com.br,SPX GESTÃO DE RECURSOS LTDA,F2 · 10 a 100 bi,0.4566157053943045
02150453000120,89,58524905157.3,OLIVEIRA TRUST SERVICER S/A,02150453000120,OLIVEIRA TRUST SERVICER S/A,OLIVEIRA TRUST SERVICER S/A,RIO DE JANEIRO,RJ,PRIVADO,2003-10-13,www.oliveiratrust.com.br,OLIVEIRA TRUST SERVICER S/A,F2 · 10 a 100 bi,0.4411348981642299
34053942000150,16,53437121272.19,FUNDAÇÃO PETROBRAS DE SEGURIDADE SOCIAL - PETROS,,,,,,,,,FUNDAÇÃO PETROBRAS DE SEGURIDADE SOCIAL - PETROS,F2 · 10 a 100 bi,0.4027854293354084
60701190000104,13,51203009988.62,ITAU UNIBANCO S.A.,60701190000104,ITAU UNIBANCO S.A.,ITAU UNIBANCO,SÃO PAULO,SP,PRIVADO,1989-07-06,www.itau.com.br,ITAU UNIBANCO,F2 · 10 a 100 bi,0.385945684769974
21813291000107,149,50987279855.65,SUL AMÉRICA INVESTIMENTOS GESTORA DE RECURSOS S.A.,21813291000107,SUL AMÉRICA INVESTIMENTOS GESTORA DE RECURSOS S.A.,SUL AMÉRICA INVESTIMENTOS GESTORA DE RECURSOS S.A.,SÃO PAULO,SP,PRIVADO,2015-04-14,www.sulamericainvestimentos.com.br,SUL AMÉRICA INVESTIMENTOS GESTORA DE RECURSOS S.A.,F2 · 10 a 100 bi,0.38431960626573897
