casa,pl_total_bi,n_fundos,juro_e_macro_bi,credito_bi,bolsa_brasil_bi,exterior_bi,cambio_bi,previdencia_bi,outros_bi,nao_classificado_bi
Kinea,177.32,361,9.3,44.89,0.26,2.33,0.0,80.0,0.0,40.55
Kapitalo,42.43,110,29.49,0.0,0.75,4.75,0.0,7.38,0.0,0.06
Legacy,25.15,108,17.5,1.23,0.32,1.03,0.0,5.06,0.0,0.0
Dynamo,20.04,15,0.0,0.0,19.26,0.72,0.0,0.0,0.0,0.06
Occam,14.04,73,2.71,5.75,1.71,0.02,0.03,0.85,0.14,2.83
JGP,13.84,83,8.33,0.0,0.48,1.26,0.0,3.27,0.0,0.5
Alaska,8.78,27,0.03,0.0,7.84,0.13,0.0,0.79,0.0,0.0
Bahia Asset,6.39,38,3.18,0.13,0.67,2.12,0.0,0.29,0.0,0.0
NEO,5.87,63,3.15,0.56,1.2,0.05,0.0,0.71,0.2,0.0
Dahlia,4.59,67,3.38,0.0,0.33,0.04,0.0,0.84,0.0,0.0
IP Capital,4.24,28,0.48,0.0,3.39,0.09,0.0,0.28,0.0,0.0
Adam,3.68,36,0.64,0.04,0.0,0.88,0.0,2.13,0.0,0.0
